"die","Freundin","-nen","girl friend","6A"
"die","Geschwister","","brothers and sisters","6A"
"die","Grosseltern","","grandparents","6A"
"der","Hund","-e","dog","6A"
"","kennenlernen","","to meet","6A"
"die","Klassenkameradin","-nen","classmate (f)","6B"
"die","Kusine","-n","cousin (f)","6A"
"die","Leute","","people","6A"
"die","Oma","-s","grandma","6A"
"der","Onkel","-","uncle","6A"
"der","Opa","-s","grandpa","6A"
"","schön","","nice","6A"
"die","Schwester","-n","sister","6A"
"die","Tante","-n","aunt","6A"
"der","Vetter","-n","cousin (m)","6A"
"","Willkommen in Neuss!","","welcome to Neuss!","6A"
"der","Audi","-s","Audi","6B"
"","auspacken","","to unpack","6B"
"","aussehen","","to look like","6B"
"das","Auto","-s","car","6B"
"das","Bad","±er","bathroom","6B"
"","bekommen","","to receive","6B"
"das","Buch","±er","book","6B"
"","danken","","to thank","6B"
"das","Esszimmer","-","dining room","6B"
"die","Garage","-n","garage","6B"
"der","Garten","±","garden","6B"
"das","Gästezimmer","-","guest room","6B"
"","gemütlich","","cozy","6B"
"","gross","","big","6B"
"die","Halskette","-n","necklace","6B"
"das","Haus","±er","house","6B"
"","hell","","light","6B"
"der","Keller","-","cellar","6B"
"","klein","","small","6B"
"die","Küche","-n","kitchen","6B"
"","mehr","","more","6B"
"","modern","","modern","6B"
"","oben","","upstairs","6B"
"die","Party","-s","party","6B"
"der","Rucksack","±e","knapsack","6B"
"das","Schlafzimmer","-","bedroom","6B"
"","sehen","","to see","6B"
"","sehr","","very","6B"
"","tausend","","thousand","6B"
"","unten","","downstairs","6B"
"das","Wohnzimmer","-","living room","6B"
"","zeigen","","to show","6B"
"der","Zettel","-","list","6B"
"das","Zimmer","-","room","6B"
"","arrogant","","arrogant","6C"
"","attractiv","","attractive","6C"
"","blond","","blonde","6C"
"die","Brille","-n","glasses","6C"
"","brünett","","brunette","6C"
"","dunkel","","dark","6C"
"","dunkelblond","","dark blonde","6C"
"","freundlich","","friendly","6C"
"","Geschmackssache","","a matter of taste","6C"
"","hübsch","","pretty","6C"
"","kennen","","to know","6C"
"","lustig","","funny","6C"
"","meinen","","to think","6C"
"","schlank","","slim","6C"
"","sympathisch","","likeable","6C"
"","unsympathisch","","unlikeable","6C"
"","vollschlank","","heavyset","6C"
"","keine Ahnung!","","I have no idea!","7A"
"","allein","","alone","7A"
"","Bayern","","Bavaria","7A"
"der","Besuch","","company","7A"
"der","Besucher","-","visitor","7A"
"der","Dom","-e","cathedral","7A"
"das","Dorf","±er","village","7A"
"der","Einwohner","-","inhabitant","7A"
"der","Fussgänger","-","pedestrian","7A"
"die","Fussgängerzone","-n","pedestrian mall","7A"
"die","Grossstadt","±e","big city","7A"
"die","Hauptstadt","±e","capital city","7A"
"die","Innenstadt","±e","city centre","7A"
"das","Jahr","-e","year","7A"
"die","Kirche","-n","church","7A"
"","leider","","unfortunately","7A"
"die","Million","-en","million","7A"
"die","Oper","-n","opera","7A"
"das","Schloss","±er","castle","7A"
"die","Sehenswürdigkeit","-en","sight","7A"
"die","Stadt","±e","city","7A"
"die","Tochter","±","daughter","7A"
"der","Turm","±e","tower","7A"
"","vielleicht","","maybe","7A"
"der","Vorort","-e","suburb","7A"
"das","Wahrzeichen","-","landmark","7A"
"das","Wappen","-","coat of arms","7A"
"die","Wohnung","-en","appartment","7A"
"","alles andere","","everything else","7B"
"","aufpassen","","to be careful","7B"
"der","Aufschnitt","","cold cuts","7B"
"der","Bäcker","-","baker","7B"
"","beim Bäcker","","at the baker's","7B"
"das","Brot","-e","bread","7B"
"die","Butter","","butter","7B"
"das","Ei","-er","egg","7B"
"","einkaufen","","to shop","7B"
"der","Einkaufszettel","-","shopping list","7B"
"die","Flasche","-","bottle","7B"
"das","Fleisch","","meat","7B"
"","frisch","","fresh","7B"
"das","Gemüse","","vegetable","7B"
"der","Gemüsehändler","","green grocer","7B"
"das","Gramm","","gramm","7B"
"die","Gurke","-n","cucumber","7B"
"das","Hackfleisch","","chopped meat","7B"
"der","Joghurt","-","yogurt","7B"
"der","Kaffee","","coffee","7B"
"der","Käse","","cheese","7B"
"das","Kilogram","","kilogram","7B"
"die","Kirsche","-n","cherry","7B"
"der","Kopf","±e","head","7B"
"der","Liter","","litre","7B"
"der","Metzger","-","butcher","7B"
"die","Milch","","milk","7B"
"das","Mineralwasser","","mineral water","7B"
"die","Mutti","-s","mom","7B"
"das","Obst","","fruit","7B"
"das","Pfund","","pound","7B"
"der","Salat","-e","lettuce","7B"
"die","Semmel","-n","roll","7B"
"","sollen","","should","7B"
"","keine Sorge","","don't worry","7B"
"der","Supermarkt","±e","supermarket","7B"
"die","Tomate","-n","tomato","7B"
"die","Wurst","±e","sausage","7B"
"der","Zucker","","sugar","7B"
"","ab und zu","","now and then","7C"
"","bewölkt","","cloudy","7C"
"die","Bratwürst","±e","fried sausage","7C"
"die","Cola","-s","cola","7C"
"das","Eis","","ice cream","7C"
"das","Fischbrot","-e","fish sandwich","7C"
"","genug","","enough","7C"
"das","Hähnchen","-","chicken","7C"
"","heiss","","hot","7C"
"","heiter","","fine","7C"
"","Hunger haben","","to be hungry","7C"
"die","Imbuss-Stube","-n","snack bar","7C"
"","kalt","","cold","7C"
"","kühl","","cool","7C"
"","mit","","with","7C"
"die","Pizza","-s","pizza","7C"
"","probieren","","to try","7C"
"der","Regen","","rain","7C"
"der","Regenmantel","±","raincoat","7C"
"der","Regenschirm","-e","umbrella","7C"
"","es regnet","","it's raining","7C"
"","ich bin satt","","I'm full","7C"
"","scheinen","","to shine","7C"
"","schmecken","","to taste","7C"
"","schnell","","fast","7C"
"der","Senf","","mustard","7C"
"die","Sonne","","sun","7C"
"","sonnig","","sunny","7C"
"","traurig","","sad","7C"
"","warm","","warm","7C"
"das","Wetter","","weather","7C"
"der","Wetterbericht","-e","weather report","7C"
"","wieder","","again","7C"
"","anrufen","","to call up","9A"
"","bringen","","to bring","9A"
"","einladen","","to invite","9A"
"","klingeln","","to ring","9A"
"","passen","","to suit","9A"
"","schon","","already","9A"
"die","Schulfreundin","-nen","friend from school (f)","9A"
"","später","","later","9A"
"","sprechen","","to speak","9A"
"","verstehen","","to understand","9A"
"","vorhaben","","to have plans","9A"
"","was gibt's?","","what's up?","9A"
"","wie geht's?","","how are you?","9A"
"der","Apfelsaft","±e","apple juice","9B"
"","ich habe einen Bärenhunger!","","I'm hungry as a bear!","9B"
"","Durst haben","","to be thirsty","9B"
"die","Erdbeerbowle","-n","strawberry punch","9B"
"die","Fanta","","Fanta","9B"
"","gleich","","right away","9B"
"die","Gulaschsuppe","-n","goulash soup","9B"
"der","Hamburger","-","hamburger","9B"
"der","Kartoffelsalat","-e","potato salad","9B"
"das","Käsebrot","-e","cheese sandwich","9B"
"der","Kuchen","-","cake","9B"
"die","Limonade","","lemonade","9B"
"","na und?!","","so what?","9B"
"","natürlich","","naturally","9B"
"die","Suppe","-n","soup","9B"
"","überhaupt","","in any case","9B"
"","guten Appetit!","","enjoy your meal!","9C"
"","nehmen","","to take","9C"
"","ausgezeichnet","","excellent","9D"
"","diskutieren","","to discuss","9D"
"die","Eltern","","parents","9D"
"","erzählen","","to tell","9D"
"","das freut mich","","I'm glad","9D"
"","froh","","happy","9D"
"","furchtbar","","terrible","9D"
"die","Idee","-n","idea","9D"
"der","Kassetten-Recorder","-","cassette recorder","9D"
"","lecker","","delicious","9D"
"die","Musik","","music","9D"
"die","Platte","-n","record","9D"
"der","Plattenspieler","-","record player","9D"
"das","Ratespiel","-e","guessing game","9D"
"","Ruhe!","","quiet!","9D"
"","spinnen","","to spin","9D"
"","tanzen","","to dance","9D"
"der","Tanzpartner","-","dance partner","9D"
"der","Video-Recorder","-","video recorder","9D"
"der","Witz","-e","joke","9D"
"","also","","well then","10A"
"","ausgehen","","to go out","10A"
"","besonders","","especially","10A"
"die","Clique","-n","clique","10A"
"die","Disko","-s","disco","10A"
"","fahren","","to travel","10A"
"das","Interesse","-n","interest","10A"
"die","Jungend","","youth","10A"
"","kegeln","","to bowl","10A"
"das","Kino","-s","movies","10A"
"","können","","can","10A"
"das","Konzert","-e","concert","10A"
"","miserabel","","miserable","10A"
"","radfahren","","to go bike riding","10A"
"das","Rockkonzert","-e","rock concert","10A"
"","so lala","","so-so","10A"
"","spannend","","exciting","10A"
"die","Sportveranstaltung","-en","sports event","10A"
"","Squash","","squash","10A"
"der","Stadtbummel","-","city stroll","10A"
"das","Theater","-","theater","10A"
"","verbringen","","to spend time","10A"
"","wenn","","if","10A"
"","wollen","","want to","10A"
"","zu Hause","","at home","10A"
"","zusammen","","together","10A"
"der","Abenteuerfilm","-e","adventure film","10B"
"der","Action-Film","-e","action film","10B"
"","anfangen","","to start","10B"
"","glauben","","to believe","10B"
"die","Gruppe","-n","group","10B"
"der","Horrorfilm","-e","horror film","10B"
"die","Komödie","-n","comedy","10B"
"der","Kriegsfilm","-e","war film","10B"
"der","Liebesfilm","-e","love story","10B"
"","Lieblings-","","favourite","10B"
"die","Lieblingsgruppe","-n","favourite group","10B"
"der","Lieblingsstar","-s","favourite star","10B"
"der","Naturfilm","-e","nature film","10B"
"der","Sänger","-","singer","10B"
"der","Schauspieler","-","actor","10B"
"der","Science-fiction-Film","-e","science fiction film","10B"
"","singen","","to sing","10B"
"","was für","","what kind of","10B"
"der","Western","-","western","10B"
"die","Zeitung","-en","newspaper","10B"
"","brutal","","brutal","10C"
"","dumm","","dumb","10C"
"","grausam","","cruel","10C"
"","hassen","","to hate","10C"
"","mögen","","to like","10C"
"","phantasievoll","","imaginative","10C"
"","schmalzig","","schmaltzy","10C"
"","sensationell","","sensational","10C"
"","warum?","","why?","10C"
"","gestern abend","","last night","10D"
"das","Armband","±er","bracelet","11A"
"die","Armbanduhr","-en","wristwatch","11A"
"","bald","","soon","11A"
"die","Blume","-n","flower","11A"
"die","Brieftasche","-n","passport case","11A"
"","geben","","to give","11A"
"der","Geburtstag","-e","birthday","11A"
"","gewöhnlich","","usually","11A"
"die","Hochzeit","","wedding","11A"
"der","Kalender","-","calendar","11A"
"das","Parfüm","-s","perfume","11A"
"das","Portemonnaie","-s","wallet","11A"
"die","Praline","-n","fancy chocolate","11A"
"die","Quartzuhr","-en","quartz clock","11A"
"das","Radio","-s","radio","11A"
"das","Reisebuch","±er","travel book","11A"
"die","Schachtel","-n","box","11A"
"","schenken","","to give as a gift","11A"
"","schick","","chic","11A"
"der","Strauss","±e","bouquet","11A"
"die","Vase","-n","vase","11A"
"","im Angebot","","on sale","11B"
"das","Beige","","beige","11B"
"das","Blau","","blue","11B"
"die","Bluse","-n","blouse","11B"
"das","Braun","","brown","11B"
"das","Dunkelblau","","dark blue","11B"
"die","Farbe","-n","colour","11B"
"das","Gelb","","yellow","11B"
"das","Grau","","grey","11B"
"das","Grün","","green","11B"
"das","Halstuch","±er","scarf","11B"
"das","Hellblau","","light blue","11B"
"das","Hemd","-en","shirt","11B"
"die","Hose","-n","pants","11B"
"das","Kaufhaus","±er","department store","11B"
"die","Krawatte","-n","tie","11B"
"die","Lieblingsfarbe","-n","favourite colour","11B"
"der","Mantel","±","coat","11B"
"die","Mütze","-n","cap","11B"
"","noch nicht","","not yet","11B"
"der","Pulli","-s","sweater","11B"
"das","Rot","","red","11B"
"der","Schuh","-e","shoe","11B"
"das","Schwarz","","black","11B"
"","teuer","","expensive","11B"
"das","T-Shirt","-s","t-shirt","11B"
"","was darf es sein?","","may I help you?","11B"
"das","Weiss","","white","11B"
"","wie teuer ist","","how much is","11B"
"","alles Gute zum...","","all the best wishes on...","11C"
"","am ersten","","on the first","11C"
"","April","","April","11C"
"","August","","August","11C"
"","Dezember","","December","11C"
"","Februar","","February","11C"
"die","Geschenkidee","-n","gift idea","11C"
"","herzliche Glückwünsche zum...","","happy...","11C"
"der","Hochzeitstag","-e","wedding anniversary","11C"
"","Januar","","January","11C"
"","Juli","","July","11C"
"","Juni","","June","11C"
"","Mai","","May","11C"
"","März","","March","11C"
"der","Muttertag","","Mother's Day","11C"
"der","Namenstag","-e","name day","11C"
"","November","","November","11C"
"","Oktober","","October","11C"
"die","Reklame","","ad","11C"
"","September","","September","11C"
"die","Uhr","-en","clock","11C"
"der","Vatertag","","Father's Day","11C"
"","Weihnachten","","Christmas","11C"
"der","Wunsch","±e","wish","11C"
